name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Adish Singla,include,,T3,,"Official MPI-SWS directory lists physical address Room 419, Building E1 5, Saarbrücken (not Kaiserslautern). Tenured faculty = independent.",high,https://www.mpi-sws.org/people/adishs/
Ahmed Salem 0001,exclude,E15,,,"Own homepage lists location as Saarbrücken and DBLP-indexed 2025-2026 papers still carry a CISPA byline, but he is absent from CISPA's current people directory -- no formal appointment confirmed. Reads as an industry researcher based near Saarbrücken with informal ties to his former group, not a genuine second post.",medium,https://ahmedsalem2.github.io/; https://www.microsoft.com/en-us/research/people/ahmsalem/
Anurag Singh 0006,exclude,E15,,,"CISPA directory: PhD Student (St. Ingbert site), student in Krikamol Muandet's group. Not independent.",high,https://cispa.de/en/people/c01ansi
Bernd Möbius,include,,T3,,"Listed as active Seniorprofessor (funded continued-status role, distinct from unfunded emeritus) on current department page; leads DFG SFB 1102 subprojects C1/C4 -- actively independent.",high,https://www.uni-saarland.de/fachrichtung/lst/personen/professorinnen.html; https://www.coli.uni-saarland.de/~moebius/mywww/index.html
Bernt Schiele,include,,T3,,"Confirmed dual appointment current as of Aug 2026 per MPI-INF's own D2 department page (""Headed by Prof. Dr. Bernt Schiele""); legitimate cross-appointment, not a data conflict.",high,https://www.mpi-inf.mpg.de/departments/computer-vision-and-machine-learning/people/bernt-schiele/
Carsten Stoll,exclude,E08,,"San Francisco Bay Area, USA","MPI-INF D6 alumni list: Former PhD Student, graduated 2009 (Theobalt group). LinkedIn shows current employer Meta, Bay Area. Purely industry, no Saarbrücken tie.",high,https://www.linkedin.com/in/carstenstoll; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Daniel Höller,exclude,E15,,,"Current FAI group page (Jörg Hoffmann's group) lists him under postdocs/PhD students, not as an independent PI; no Emmy Noether or junior-professorship evidence found.",high,https://fai.cs.uni-saarland.de/people; https://fai.cs.uni-saarland.de/hoeller/
David Kaltenpoth,exclude,E15,,,"Group page states he is a postdoc in Vreeken's group. Genuine Saarbrücken position, not independent.",high,https://vreeken.groups.cispa.de/people/david/; https://cispa.de/en/people/c01daka
Dongqi Liu 0001,exclude,E13,,,"Demberg lab's own news page confirms his PhD defense on May 29, 2026; he no longer appears in Saarland's current LST staff directory. Destination (DBLP suggests University of Amsterdam) unconfirmed.",medium,https://www.uni-saarland.de/lehrstuhl/demberg/; https://aclanthology.org/people/d/dongqi-liu/
Fionn Mc Inerney,exclude,E08,,"Barcelona, Spain","Homepage timeline: CISPA postdoc 2021-2023, then Aix-Marseille, TU Wien postdoc, now Senior Researcher at Telefónica Barcelona since Oct 2024. DBLP's CISPA listing is stale by ~3 years.",high,https://sites.google.com/view/fionn-mc-inerney/
Franziska Boenisch,include,,T3,,"Confirmed independent tenure-track faculty at CISPA; co-leads SprintML Lab with Adam Dziedzic. Named 2025 Werner-von-Siemens Fellow (honorary, doesn't change employment status).",high,https://cispa.de/en/people/c01frbo; https://cispa.de/en/boenisch-werner-von-siemens-fellow
Gaurav Sharma 0004,exclude,E13,,,"DBLP's MPII tag corresponds to a postdoc under Bernt Schiele c. 2012-2014, over a decade stale. Current primary post is industry (Typeface); the IIT Kanpur role is visiting-only, which this project excludes. No Saarbrücken tie found.",high,http://grvsharma.com/
Golnoosh Shahkarami,exclude,E15,,,"Own MPI-INF profile: PhD under Kurt Mehlhorn, now a postdoc-level researcher in D1 (headed by Danupon Na Nongkai), jointly with Bremen. Not an independent PI with her own budget/group.",high,https://www.mpi-inf.mpg.de/departments/algorithms-complexity/people/current-members/golnoosh-shahkarami
Guoxing Sun 0001,exclude,E15,,,"Currently a PhD Candidate per D6's official page and his own homepage, since Nov 2022. Not independent.",high,https://people.mpi-inf.mpg.de/~gsun/; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Hanwei Zhang 0001,exclude,E15,,,"Own homepage/CV: postdoc since Nov 2023 at Hermanns' chair, working on trustworthy/explainable AI. Not independent.",high,https://depend.cs.uni-saarland.de/~hzhang/; https://hanwei0912.github.io/cv/
Janis Kalofolias,exclude,E08,,unknown,Absent from CISPA's entire people directory and from Vreeken's EDA group's current-member list as of Aug 2026 (checked directly). Strong evidence he has left Saarbrücken; destination could not be established.,medium,https://eda.rg.cispa.io/people/; https://dblp.org/pid/194/4254.html
Janis Keuper,exclude,E08,,Offenburg,Confirmed current professor and IMLA director at Offenburg; no evidence of a current Saarland University appointment found -- DBLP's Saarland listing appears to be the stale/mismatched note.,medium,https://www.hs-offenburg.de/imla/
Jian Wang 0042,exclude,E13,,,"MPI-INF D6 alumni list: PhD graduated 2024 (thesis: Egocentric Motion Capture), now Research Scientist at Meta. DBLP's MPI-INF/CAS listing is stale; exact Meta office/city unconfirmed.",medium,https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
Jingyi Zhang 0002,exclude,E08,,Berlin,"DBLP's DFKI affiliation confirmed stale: her DFKI page 404s and she's absent from DFKI's current MLT staff roster. Google Scholar self-reports HPI Berlin, but HPI's own team page for de Melo's group lists her only as an alumna there too -- exact Aug 2026 whereabouts unconfirmed. Definitely left Saarbrücken.",medium,https://hpi.de/en/de-melo/team.html; https://www.dfki.de/en/web/research/research-departments/multilinguality-and-language-technology/multilinguality-and-language-technology-staff-members
Joscha Cüppers,exclude,E15,,,"Defended PhD Sept 2025, now a postdoc in Vreeken's group per the group's current-members page. No independent budget/group.",high,https://eda.rg.cispa.io/people/joscha/; https://cispa.de/en/people/c01jocu
Krishna P. Gummadi,exclude,E08,,Kaiserslautern,"Verified via direct fetch of official MPI-SWS directory: physical/mailing address ""Room 410, Building G 26, Campus Kaiserslautern."" Not Saarbrücken. No current Saarland University appointment found.",high,https://www.mpi-sws.org/people/gummadi/
