candidate_name,city_considered,reason_code,reason,counts_toward,confidence,evidence_url
Andreas Ziegler 0006,Tübingen,E08,"Homepage re-checked 2026-08: still no employer listed post-defense. Was a lab member under Zell/Geiger/Martius/Gallego, not an independent group leader, so independent=no regardless of the open question of where he is now.","unclear (job-seeking; personal contact address Stäfa, Switzerland, no confirmed new employer)",medium,https://andreasaziegler.github.io/pdfs/AndreasZiegler_long.pdf ; https://andreasaziegler.github.io/
Bernhard Jaeger,Tübingen,E13,"Left PhD-candidate status when KE:SAI launched ~20 May 2026, a lab outside the directories already collected. Self-hosted CV (Dec 2025) is stale, still listing 'Research Associate, Ph.D. Candidate.' As a co-founder under a more senior CEO and Scientific Director, independent-PI status is unclear rather than confirmed.",,medium,https://kait0.github.io/
Chris Gagne 0001,Tübingen,E08,"Formerly Peter Dayan postdoc at MPI for Biological Cybernetics, Tübingen (left ~Sept 2022 for Hume AI). Re-fetching Google Scholar now clearly reads 'Staff Research Scientist, Google DeepMind', resolving the earlier Hume-AI-vs-DeepMind contradiction from stale data-broker pages. Left Tübingen for industry years ago either way; not a PI.","unclear (possibly Mountain View, CA, per broader Hume AI-Google licensing-deal reporting; not stated on his own profile)",medium,https://scholar.google.com/citations?hl=en&user=E6DqS3UAAAAJ
Dmitry Kobak,Tübingen,E08,"Formerly Group Leader, Dept. of Data Science, Hertie Institute for AI in Brain Health, Univ. Tübingen (not one of the collected directories, explaining the miss). Moved to Ghent ~April 2026 per his own homepage (""Moved to Ghent and started my lab!"", updated 2026-05-13).",Ghent,high,https://kobaklab.sites.vib.be/en
Frank Schneider 0001,Tübingen,E15,"MLCommons Algorithms working group chair is a community/consortium leadership role, not an independent academic group; remains a postdoc under Hennig.",,high,https://fsschneider.github.io/
Guy Moss 0001,Tübingen,E08,"PhD thesis defended 19 Dec 2025 (advisor Jakob Macke), explaining absence from directories. Industry engineering post, not academic; confidence medium since sourced from a LinkedIn snippet (Pupil Labs' public staff page doesn't list individual engineers).",Berlin,medium,https://www.linkedin.com/in/guy-moss-532619221/
Ilia A. Petrov 0001,Tübingen,E15,"Exact DBLP disambiguation id given in the task, 'Ilia A. Petrov 0001' (dblp.org/pid/131/3876.html), matches this CV PhD candidate — NOT 'Ilia Petrov 0001' (no middle initial), a separate DBLP entity: the Reutlingen/TU Darmstadt/Erlangen-Nuremberg database-systems professor, who is never listed as Tübingen on DBLP.",,high,https://ptrvilya.github.io/
Jan Schneider 0007,Tübingen,E15,"ELLIS PhD student co-supervised by Dieter Büchler and Bernhard Schölkopf (MPI-IS) and Ingmar Posner (Oxford). Works inside Büchler/Schölkopf's group, not an independent PI.",,high,https://is.mpg.de/person/jschneider
Jonathan Schmidt 0001,Tübingen,E15,One of two postdocs on Hennig's group page; no own students or PI grant found; 2026-dated PhD thesis under Hennig on his DBLP page.,,high,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/methoden-des-maschinellen-lernens/personen/
Leena C. Vankadara,Tübingen,E08,"PhD jointly supervised by Ulrike von Luxburg (Tübingen) and Debarghya Ghoshdastidar. Brief spell as Applied Scientist at Amazon, then joined UCL as Lecturer Feb 2025 with own advisees. No longer any Tübingen or MPI-IS affiliation.",London,high,https://leenacvankadara.com/
Michael Tiemann 0001,Tübingen,E15,"One of 3 researchers listed under Gehler's group, not an own-group PI. Also holds industry side roles (Researcher at minerva4ai.eu, COO at DenkBox); University of Tübingen FIT record is stale (still lists Robert Bosch GmbH, Stuttgart).",,high,https://gehler.tuebingen.ai/team
Mijung Park,Tübingen,E08,"Formerly Research Group Leader, MPI-IS / Univ. Tübingen (2017-2021), explaining DBLP's Tübingen affiliation. Moved to UBC July 2021; leads own ParkLab group. A concurrent Associate Professor appointment at DTU (2023-2024) appears to have ended.",Vancouver,high,https://www.cs.ubc.ca/~mijungp/
Muhammad Waleed Gondal,Tübingen,E15,"Bernhard Schölkopf's own MPI-IS alumni page lists him as 'Amazon Research, Tübingen.' Individual-contributor scientist role at Amazon's Tübingen office, not a PI/group leader; only post is industry. DBLP's MPI-IS tag and his GitHub bio are both stale, reflecting his PhD-era employer.",,high,https://www.amazon.science/author/muhammad-waleed-gondal
Roland S. Zimmermann,Tübingen,E08,"Not on ELLIS Institute Tübingen's 13-person people page. Personal homepage rzimmermann.com re-checked 2026-08: still stale, describing him only as a Tübingen PhD student under Wieland Brendel. No own group; individual contributor at DeepMind.",unclear (LinkedIn locale suggests possibly Zurich; not stated explicitly),medium,https://www.linkedin.com/in/roland-zimmermann-0a014314a/
Seong Joon Oh,Tübingen,E08,"recent papers place them elsewhere: His own homepage states he moved his group (Scalable Trustworthy AI) from University of Tübingen to KAIST in February 2026. Tübingen AI Center's people page still lists him as active Professor there — that is stale metadata lagging the move, not counter-evidence. The Sogang University entry in OpenAlex has no support on his site and looks like unrelated noise.","Daejeon, South Korea",high,https://seongjoonoh.com/
Shashank Singh 0011,Tübingen,E08,Postdoc under Bernhard Schölkopf at MPI-IS Tübingen 2021-2024 ended; has since left academia and Germany entirely for a US industry role.,New York City,high,https://sss1.github.io/CV.pdf
Steffen Schneider 0001,Tübingen,E08,ELLIS PhD jointly with Matthias Bethge (Tübingen) and Mackenzie Mathis (EPFL) explains DBLP's Tübingen affiliation. Now an independent tenure-track Group Leader/PI at Helmholtz Munich (elected Die Junge Akademie/Leopoldina June 2026); has left Tübingen.,Munich,high,https://dynamical-inference.ai/authors/steffen-schneider/
Yong Cao 0001,Tübingen,E15,"Same pattern as colleague Wenjing Bian ('Group Leader / 3D Vision'): the team page's 'Group Leader' title names an internal sub-team lead inside Geiger's chair, not an independent PI. His own page and titles.csv (Wissenschaftlicher Mitarbeiter) agree he is a postdoc.",,high,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/autonomous-vision/team/
Yuxuan Xue 0001,Tübingen,E15,Group staff page current through 2026-06 (ECCV 2026 acceptance noted). Did a Research Scientist internship at Meta Codec Avatars mid-2025 but remains a PhD student under Pons-Moll.,,high,https://yuxuan-xue.com/
Zehao Yu 0002,Tübingen,E08,"AVG's own team page lists him as an alumnus, so his PhD post has ended, but no new employer could be found on his homepage, DBLP, or Scholar (no 2025/2026 publications). True Aug-2026 status is an open question.",unclear,low,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/autonomous-vision/team/ ; https://niujinshuchong.github.io/
Ahmed Salem 0001,Saarbrücken,E15,"Own homepage lists location as Saarbrücken and DBLP-indexed 2025-2026 papers still carry a CISPA byline, but he is absent from CISPA's current people directory -- no formal appointment confirmed. Reads as an industry researcher based near Saarbrücken with informal ties to his former group, not a genuine second post.",,medium,https://ahmedsalem2.github.io/; https://www.microsoft.com/en-us/research/people/ahmsalem/
Anurag Singh 0006,Saarbrücken,E15,"CISPA directory: PhD Student (St. Ingbert site), student in Krikamol Muandet's group. Not independent.",,high,https://cispa.de/en/people/c01ansi
Carsten Stoll,Saarbrücken,E08,"MPI-INF D6 alumni list: Former PhD Student, graduated 2009 (Theobalt group). LinkedIn shows current employer Meta, Bay Area. Purely industry, no Saarbrücken tie.","San Francisco Bay Area, USA",high,https://www.linkedin.com/in/carstenstoll; https://www.mpi-inf.mpg.de/departments/visual-computing-and-artificial-intelligence/people
