person,counted_city,papers,recent_affiliations,sources
Frank Hutter,Tübingen,74,"Thorlabs (Germany) (DE, 2025) | University of Freiburg (DE, 2026) | University Medical Center Freiburg (DE, 2026) | University of Education Freiburg (DE, 2025) | The Priory Hospital (GB, 2025) | Robert Bosch (India) (IN, 2024) | University of Tübingen (DE, 2025)",adjudication
Seong Joon Oh,Tübingen,31,"Sogang University (KR, 2026) | University of Tübingen (DE, 2025)",de-tue-ai-center
Gerard Pons-Moll,Tübingen,29,"TH Bingen University of Applied Sciences (DE, 2026) | Max Planck Institute for Informatics (DE, 2025) | Bernstein Center for Computational Neuroscience Tübingen (DE, 2025) | Tübingen AI Center (None, 2025) | University of Tübingen (DE, 2025)",de-ellis-inst-tue;de-tue-ai-center;csrankings
Andrew Lowy,Saarbrücken,8,"University of Wisconsin–Madison (US, 2024)",de-cispa-helmholtz-center;csrankings
Viktor Zaverkin,Saarbrücken,6,"University of Stuttgart (DE, 2024) | NEC (Japan) (JP, 2025) | Sharp Laboratories of Europe (United Kingdom) (GB, 2025) | NEC (Germany) (DE, 2026)",de-saarland-university
Alina Roitberg,Stuttgart,16,"University of Stuttgart (DE, 2025) | Karlsruhe Institute of Technology (DE, 2024) | University of Hildesheim (DE, 2026) | X-Fab (Germany) (DE, 2025)",de-university-of-stuttgart;csrankings
Bin Yang 0009,Stuttgart,11,"University of Stuttgart (DE, 2025) | Kunming University of Science and Technology (CN, 2024) | University of Science and Technology Liaoning (CN, 2024) | Planetary Science Institute (US, 2025) | Anhui University (CN, 2025) | Tianjin University (CN, 2026) | Hefei University of Technology (CN, 2025) | Tianjin Chengjian University (CN, 2025) | City University of Hong Kong (HK, 2025) | Southwestern University of Finance and Economics (CN, 2024) | Dalian University of Technology (CN, 2024) | Nanjing Institute of Technology (CN, 2024) | Guilin University of Technology (CN, 2026) | Chuzhou University (CN, 2025) | Jiangxi University of Science and Technology (CN, 2025) | East China Normal University (CN, 2026) | Taizhou University (CN, 2024) | Xi'an Jiaotong University (CN, 2025) | Aalborg University (DK, 2025) | Universidad Diego Portales (CL, 2025)",csrankings
Valentin Hofmann,München,17,"University of Washington (US, 2026) | LMU Klinikum (DE, 2024) | University of Oxford (GB, 2024) | Allen Institute (US, 2026) | Ludwig-Maximilians-Universität München (DE, 2024)",de-mcml
Bjoern Menze,München,13,"German Cancer Research Center (DE, 2025) | University of Zurich (CH, 2026) | Heidelberg University (DE, 2025) | University Hospital Heidelberg (DE, 2025) | Yale University (US, 2024) | ETH Zurich (CH, 2026) | Quantitative BioSciences (US, 2026) | Translational Research in Oncology (FR, 2025) | Athinoula A. Martinos Center for Biomedical Imaging (US, 2024) | Technical University of Munich (DE, 2025)",csrankings;csrankings;csrankings
Patrick van der Smagt,München,13,"Eötvös Loránd University (HU, 2025) | Volkswagen Group (Germany) (DE, 2024) | One Earth Future Foundation (US, 2025) | Robotics Research (United States) (US, 2025) | Future Carbon (Germany) (DE, 2026) | Volkswagen Group (United States) (US, 2026)",csrankings;csrankings
Berthold Bäuml,München,10,"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) (DE, 2025) | Robotics Research (United States) (US, 2025) | Technical University of Munich (DE, 2024)",de-tu-munich
Hans-Arno Jacobsen,München,3,"Fleming College (CA, 2024) | University of Illinois Urbana-Champaign (US, 2026) | University of Toronto (CA, 2026) | Canada Research Chairs (CA, 2024) | Technical University of Munich (DE, 2025) | Rogers (United States) (US, 2026)",csrankings
Peter Eisert,Berlin,10,"Cal Poly Humboldt (US, 2025) | Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute (DE, 2025) | Humboldt-Universität zu Berlin (DE, 2025) | Fraunhofer Institute for Secure Information Technology (DE, 2026) | Fraunhofer Institute for Production Systems and Design Technology (DE, 2025)",csrankings
