name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Andreas Ziegler 0006,exclude,E08,,"unclear (job-seeking; personal contact address Stäfa, Switzerland, no confirmed new employer)","Homepage re-checked 2026-08: still no employer listed post-defense. Was a lab member under Zell/Geiger/Martius/Gallego, not an independent group leader, so independent=no regardless of the open question of where he is now.",medium,https://andreasaziegler.github.io/pdfs/AndreasZiegler_long.pdf ; https://andreasaziegler.github.io/
Bernhard Jaeger,exclude,E13,,,"Left PhD-candidate status when KE:SAI launched ~20 May 2026, a lab outside the directories already collected. Self-hosted CV (Dec 2025) is stale, still listing 'Research Associate, Ph.D. Candidate.' As a co-founder under a more senior CEO and Scientific Director, independent-PI status is unclear rather than confirmed.",medium,https://kait0.github.io/
Chris Gagne 0001,exclude,E08,,"unclear (possibly Mountain View, CA, per broader Hume AI-Google licensing-deal reporting; not stated on his own profile)","Formerly Peter Dayan postdoc at MPI for Biological Cybernetics, Tübingen (left ~Sept 2022 for Hume AI). Re-fetching Google Scholar now clearly reads 'Staff Research Scientist, Google DeepMind', resolving the earlier Hume-AI-vs-DeepMind contradiction from stale data-broker pages. Left Tübingen for industry years ago either way; not a PI.",medium,https://scholar.google.com/citations?hl=en&user=E6DqS3UAAAAJ
Dmitry Kobak,exclude,E08,,Ghent,"Formerly Group Leader, Dept. of Data Science, Hertie Institute for AI in Brain Health, Univ. Tübingen (not one of the collected directories, explaining the miss). Moved to Ghent ~April 2026 per his own homepage (""Moved to Ghent and started my lab!"", updated 2026-05-13).",high,https://kobaklab.sites.vib.be/en
Frank Hutter,include,,T3,Freiburg,"Legitimate cross-appointment. Tenured Freiburg chair is the primary post; ELLIS Institute Tübingen PI/fellow role is secondary but real and current. | cross-appointment, primary post Freiburg",high,https://institut-tue.ellis.eu/en/people/fh
Frank Schneider 0001,exclude,E15,,,"MLCommons Algorithms working group chair is a community/consortium leadership role, not an independent academic group; remains a postdoc under Hennig.",high,https://fsschneider.github.io/
Guy Moss 0001,exclude,E08,,Berlin,"PhD thesis defended 19 Dec 2025 (advisor Jakob Macke), explaining absence from directories. Industry engineering post, not academic; confidence medium since sourced from a LinkedIn snippet (Pupil Labs' public staff page doesn't list individual engineers).",medium,https://www.linkedin.com/in/guy-moss-532619221/
Harrisen Scells,include,,T3,,"W1-Juniorprofessur took effect 17 March 2025, a German PI-track appointment titles.csv counts as independent (counts_as_pi=yes) irrespective of sitting inside the joint Health NLP Lab, whose overall director is Carsten Eickhoff. Ruled independent on the title, per project policy, not on lab headship.",high,https://scells.me/
Hilde Kuehne,include,,T3,,"DBLP's Bonn + Fraunhofer FKIE affiliation is stale; her own page frames Bonn as a past role (""Before, I was...""). Also holds an affiliated professorship at MIT-IBM Watson AI Lab (secondary).",high,https://tuebingen.ai/people ; https://hildekuehne.github.io/about.html
Ilia A. Petrov 0001,exclude,E15,,,"Exact DBLP disambiguation id given in the task, 'Ilia A. Petrov 0001' (dblp.org/pid/131/3876.html), matches this CV PhD candidate — NOT 'Ilia Petrov 0001' (no middle initial), a separate DBLP entity: the Reutlingen/TU Darmstadt/Erlangen-Nuremberg database-systems professor, who is never listed as Tübingen on DBLP.",high,https://ptrvilya.github.io/
Jan Schneider 0007,exclude,E15,,,"ELLIS PhD student co-supervised by Dieter Büchler and Bernhard Schölkopf (MPI-IS) and Ingmar Posner (Oxford). Works inside Büchler/Schölkopf's group, not an independent PI.",high,https://is.mpg.de/person/jschneider
Jonathan Schmidt 0001,exclude,E15,,,One of two postdocs on Hennig's group page; no own students or PI grant found; 2026-dated PhD thesis under Hennig on his DBLP page.,high,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/methoden-des-maschinellen-lernens/personen/
Leena C. Vankadara,exclude,E08,,London,"PhD jointly supervised by Ulrike von Luxburg (Tübingen) and Debarghya Ghoshdastidar. Brief spell as Applied Scientist at Amazon, then joined UCL as Lecturer Feb 2025 with own advisees. No longer any Tübingen or MPI-IS affiliation.",high,https://leenacvankadara.com/
Matthias Hein 0001,include,,T3,,"Identity confirmed: DBLP Matthias Hein 0001 is the adversarial-robustness / OOD-detection researcher (DASH, Mahalanobis++, robust CLIP, 2025-26), i.e. the Tuebingen ML chair holder; Matthias Hein 0002 is the TU Ilmenau RF-engineering professor and Matthias Hein 0003 the Wuppertal physicist, both different people. DBLP's affiliation strings for 0001 (MPI for Intelligent Systems Tuebingen, Saarland ",high,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/maschinelles-lernen/team/prof-dr-matthias-hein/ ; https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/arbeitsgruppen/
Michael Tiemann 0001,exclude,E15,,,"One of 3 researchers listed under Gehler's group, not an own-group PI. Also holds industry side roles (Researcher at minerva4ai.eu, COO at DenkBox); University of Tübingen FIT record is stale (still lists Robert Bosch GmbH, Stuttgart).",high,https://gehler.tuebingen.ai/team
Mijung Park,exclude,E08,,Vancouver,"Formerly Research Group Leader, MPI-IS / Univ. Tübingen (2017-2021), explaining DBLP's Tübingen affiliation. Moved to UBC July 2021; leads own ParkLab group. A concurrent Associate Professor appointment at DTU (2023-2024) appears to have ended.",high,https://www.cs.ubc.ca/~mijungp/
Moritz Hardt,include,,T3,,"Home page address Max-Planck-Ring 4, 72076 Tübingen confirms the Tübingen (not Stuttgart) campus. University of Tübingen listing is an honorary professorship (secondary); counts as an institute PI.",high,https://www.mrtz.org
Muhammad Waleed Gondal,exclude,E15,,,"Bernhard Schölkopf's own MPI-IS alumni page lists him as 'Amazon Research, Tübingen.' Individual-contributor scientist role at Amazon's Tübingen office, not a PI/group leader; only post is industry. DBLP's MPI-IS tag and his GitHub bio are both stale, reflecting his PhD-era employer.",high,https://www.amazon.science/author/muhammad-waleed-gondal
Roland S. Zimmermann,exclude,E08,,unclear (LinkedIn locale suggests possibly Zurich; not stated explicitly),"Not on ELLIS Institute Tübingen's 13-person people page. Personal homepage rzimmermann.com re-checked 2026-08: still stale, describing him only as a Tübingen PhD student under Wieland Brendel. No own group; individual contributor at DeepMind.",medium,https://www.linkedin.com/in/roland-zimmermann-0a014314a/
Sebastian Damrich,include,,T3,,"NOT a postdoc as of 2026-08-01 - the prior expectation was wrong. The institute's own dated career table reads ""Since 2025 | Hertie Institute for AI in Brain Health, University of Tuebingen | Group Leader"" above ""Since 2023 | ... | PostDoc"", so the 2023-2025 postdoc phase has been superseded by a group-leader post. His group sits under the institute's third pillar, ""Independent Research Groups"", i",high,https://hertie.ai/independent-research-groups/team/members/sebastian-damrich ; https://hertie.ai/data-science/team/members/sebastian-damrich
Seong Joon Oh,exclude,E08,,"Daejeon, South Korea","recent papers place them elsewhere: His own homepage states he moved his group (Scalable Trustworthy AI) from University of Tübingen to KAIST in February 2026. Tübingen AI Center's people page still lists him as active Professor there — that is stale metadata lagging the move, not counter-evidence. The Sogang University entry in OpenAlex has no support on his site and looks like unrelated noise.",high,https://seongjoonoh.com/
Shashank Singh 0011,exclude,E08,,New York City,Postdoc under Bernhard Schölkopf at MPI-IS Tübingen 2021-2024 ended; has since left academia and Germany entirely for a US industry role.,high,https://sss1.github.io/CV.pdf
Shiwei Liu 0003,include,,T3,,"Oxford (Newton Int'l Fellow) and UT Austin (postdoc) are past roles, explicitly marked prior on the ELLIS page. MPI-IS page gives a Tübingen office address (Brunnenstrasse 30, 72074 Tübingen).",high,https://institut-tue.ellis.eu/en/people/sliu ; https://www.is.mpg.de/person/sliu
Steffen Schneider 0001,exclude,E08,,Munich,ELLIS PhD jointly with Matthias Bethge (Tübingen) and Mackenzie Mathis (EPFL) explains DBLP's Tübingen affiliation. Now an independent tenure-track Group Leader/PI at Helmholtz Munich (elected Die Junge Akademie/Leopoldina June 2026); has left Tübingen.,high,https://dynamical-inference.ai/authors/steffen-schneider/
