name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Alexander Badri-Sproewitz,exclude,E08,,"Leuven, Belgium (KU Leuven)","Was Max Planck Research Group Leader (Dynamic Locomotion Group) at MPI-IS Stuttgart from Oct 2016; no longer appears on the current MPI-IS people directory and the Dynamic Locomotion group no longer appears among current MPI-IS groups. DBLP's 'MPI-IS, Stuttgart' entry is stale.",high,https://www.mech.kuleuven.be/en/pma/research/robotics/people/00154092
Alina Roitberg,include,,T2,Hildesheim," | cross-appointment, primary post Hildesheim",,
Bernd Bohnet,exclude,E08,,Google DeepMind (industry; specific office city not confirmed),DBLP's 'University of Stuttgart' entry appears stale; his old uni-stuttgart.de personal page is unreachable. No current university appointment found; industry-only post excludes him under the project's rules.,medium,https://research.google/people/bernd-bohnet/
Christopher Jenkins,exclude,E15,,,"DBLP suffix '0001' is a disambiguation artifact. His own institute bio states he is a PhD student on the SemChangeMWE project, supervised by Apl. Prof. Dr. Sabine Schulte im Walde -- not independent.",high,https://www.ims.uni-stuttgart.de/en/institute/team/Jenkins/
Daniel Hennes,exclude,E08,,Google DeepMind (reported Switzerland; not independently confirmed),"DBLP still lists his old Stuttgart/DFKI-Bremen/ESA affiliations, never updated. Publication record (OpenSpiel, Stratego in Science 2022, TacticAI, 2025-26 multi-agent LLM work) matches DeepMind's program; a secondary LinkedIn-derived snippet (not independently confirmed) places him in Switzerland. No current Stuttgart academic listing found; industry-only excludes him.",medium,https://dblp.org/pid/50/4003
Duy M. H. Nguyen,exclude,E15,,,"A May 2026 arXiv paper he co-authored still lists this IMPRS-IS/Uni Stuttgart affiliation, confirming he remains a PhD student, not independent. 'Max Planck Research School' names a doctoral graduate school.",high,https://arxiv.org/abs/2601.15416
Felix Schmitt,exclude,E08,,"n/a -- industry-only post, no academic appointment found","DBLP suffix '0001' is a disambiguation artifact. DBLP notes his PhD (2018) was at Karlsruhe, not Stuttgart -- a past credential, not a current post. ORCID employment record lists only Bosch GmbH Stuttgart, no university role. Industry-only excludes him under the project's rules.",high,https://pub.orcid.org/v3.0/0000-0001-5451-8233/employments
Filip Miletic,exclude,E15,,,"DBLP suffix '0002' is a disambiguation artifact, not part of his name. Postdoc since 2022 inside Sabine Schulte im Walde's group (project SemVarMWE), not an independent PI. University of Toulouse on DBLP refers to his completed PhD (2018-2022), not a current post.",high,https://www.ims.uni-stuttgart.de/en/institute/team/Miletic/
Jens Kober,include,,T3,,"Relocated from TU Delft (assoc. prof. 2019-2026) to Stuttgart starting March 2026; confirmed by ELLIS Stuttgart, Uni Stuttgart, and Fraunhofer IPA press items. His TU Delft staff page is stale and still shows him as active there.",high,https://ellis-stuttgart.eu/news/2026/03/Jens-Kober/
Katherine J. Kuchenbecker,include,,T3,,"DBLP's 'University of Pennsylvania' affiliation is stale, predating her 2018 move. Confirmed as active Director via the department page and multiple 2026 MPI-IS news items naming her.",high,https://is.mpg.de/hi/
Lei Shi,exclude,E15,,,"DBLP suffix '0032' is a disambiguation artifact distinguishing him from many other 'Lei Shi' entries. Postdoc on 'Bayesian Intent Prediction for Human-Machine Collaboration' within SimTech; recent papers frequently co-authored with Andreas Bulling, the group's PI. The DBLP 'University of Antwerp' affiliation appears to be a prior/PhD-era post.",high,https://www.simtech.uni-stuttgart.de/exc/people/Shi-00003/
Luiz F. O. Chamon,exclude,E08,,"Paris, France (Ecole Polytechnique)",Was ELLIS-SimTech Independent Junior Research Group Leader at Stuttgart 2022-2024 (qualified as independent then too); left for Ecole Polytechnique Jan 2025. DBLP's 'University of Stuttgart' entry is stale.,high,https://www.ki.uni-stuttgart.de/institute/news/Luiz-Chamon-joins-Ecole-Polytechnique-as-a-tenure-track-assistant-professor/
Marco F. Huber,include,,T3,,"Professor since Oct 2018; Fraunhofer IPA role is a joint appointment, both physically in Stuttgart so no city ambiguity.",high,https://www.uni-stuttgart.de/en/press/experts/Prof.-Dr.-Marco-Huber/
Marion Di Marco,exclude,E08,,"Munich/Heilbronn, Germany (TUM, Alexander Fraser's group)",Also publishes as Marion Weller-Di Marco / Marion Weller. No longer on the current University of Stuttgart IMS staff roster (65 members checked); her old IMS profile URL 404s. A Sept 2025 WMT paper's affiliation footer lists her at TUM/MCML alongside Fraser. Exact current title unconfirmed -- flagged for manual follow-up.,medium,https://aclanthology.org/2025.wmt-1.27.pdf
Mathias Buerger,exclude,E08,,"Renningen, Germany (Bosch BCAI; ~20 km from Stuttgart)","Earlier academic career (habilitation-era control theory work) at University of Stuttgart completed ~2013; absent from the current Institute for Systems Theory and Automatic Control staff page. Now industry-only at Bosch, which excludes him; title corroborated only by a secondary search snippet plus a 2025 patent grant record.",medium,https://www.patentleaderboard.com/robert-bosch-gmbh/mathias-buerger/72368
Nicola Wolpert,include,,T3,,"Full professor since 2005. HFT Stuttgart is physically in the city of Stuttgart but is a distinct institution from University of Stuttgart/MPI-IS, so it was never picked up by the two tracked institution rosters.",high,https://www.hft-stuttgart.de/p/nicola-wolpert
Volker Fischer,exclude,E08,,"n/a -- industry-only post, no academic appointment found",DBLP suffix '0003' is a disambiguation artifact. No honorary/adjunct professorship at University of Stuttgart or elsewhere found despite searching; PhD is from Regensburg. Industry-only excludes him under the project's rules even though BCAI (Renningen) is near Stuttgart.,medium,https://www.semanticscholar.org/author/47092548
