city,institution,kind,likely_ai_pis,basis,homepage,directory_url,retrieved,confidence,notes
Tübingen,Max Planck Institute for Biology Tübingen,max_planck,none,"Institute homepage lists 6 department heads (Lupas, Hsueh, Ley, Sommer, Coelho, Weigel); all wet-lab evolutionary/molecular/microbiome biology. 'Bioinformatics' is named only as a supporting research area; no dedicated computational or ML department found.",https://www.bio.tuebingen.mpg.de/,https://www.bio.tuebingen.mpg.de/,2026-08-06,medium,Formed from the former MPI for Developmental Biology; distinct legal entity from MPI for Biological Cybernetics (already collected) and from MPI-IS Tübingen (already collected).
Tübingen,Friedrich Miescher Laboratory of the Max Planck Society,max_planck,none,Not independently fetched this pass; known only from a Wikipedia mention as a small MPS satellite lab in Tübingen doing basic plant/microbial biology.,,,2026-08-06,low,Existence and AI-relevance NOT independently verified this pass — homepage was not reached. Written as a low-confidence row per contract rather than silently dropped; needs direct verification.
Tübingen,Leibniz-Institut für Wissensmedien (IWM) / Knowledge Media Research Center,leibniz,few,"Staff page lists 9 lab leaders. One is explicitly AI/NLP: Detmar Meurers, 'Language and AI in Education Lab' (NLP for language learning). Others (Multimodal Interaction Lab, Perception and Action Lab, etc.) are cognitive-psychology / learning-science labs whose AI-publication status is unconfirmed.",https://www.iwm-tuebingen.de,https://www.iwm-tuebingen.de/www/en/institut/mitarbeiterinnen.html,2026-08-06,medium,Leibniz institute for education/knowledge-media research. English page used for discovery; per contract the German 'Personen' page should be read for current titles before any roster pass.
Tübingen,Hertie Institute for Clinical Brain Research (HIH),other_nonprofit,few,"Department list includes Giese Lab ('Computational Sensomotorics') and Siegel Lab ('Neural Dynamics and Magnetoencephalography', decoding methods) — both plausibly AI-publishing. Remaining departments (Neuro-Oncology, Epileptology, Cellular Neurology, etc.) are clinical.",https://www.hih-tuebingen.de/en/,https://www.hih-tuebingen.de/en/,2026-08-06,medium,"ENTITY AMBIGUITY: this is NOT the same organisation as the already-collected 'Hertie Institute for AI in Brain Health.' HIH's own homepage never mentions that entity, despite sharing the Hertie name and Tübingen brain-research focus. Do not merge without checking the relationship first — same risk class as ELLIS Institute vs. ELLIS Unit Tübingen."
Tübingen,Tübingen University Hospital (UKT) / Medical Faculty interfaculty institutes,university_hospital,few,"UKT's own institute A-Z page names a 'Center for Digital Health' (explicit data-science/ML focus), an 'Interfaculty Institute for Biomedical Informatics (IBMI)', and a 'Translational Bioinformatics' unit. Individual PI names not resolved this pass — both dedicated pages 404'd.",https://www.medizin.uni-tuebingen.de,https://www.medizin.uni-tuebingen.de/en-de/das-klinikum/einrichtungen/institute,2026-08-06,low,"Unclear whether medical-faculty PIs are already inside the existing 'University of Tübingen' roster: UKT is a legally separate Anstalt des öffentlichen Rechts, but its institute directors typically hold University of Tübingen chairs. Flagged rather than assumed either way — same lesson as LMU Munich's Institute of Statistics in AGENT_CONTRACT.md."
Tübingen,Reutlingen University,university_of_applied_sciences,few,"Informatics faculty page names a dedicated 'Angewandte Künstliche Intelligenz' (Applied AI) research center, a 'Cognitive Systems' research group, and an 'AI-Reallabor AIDA' project.",https://www.reutlingen-university.de,https://www.inf.reutlingen-university.de/home/,2026-08-06,medium,"~11 km from Tübingen, well inside the 20 km window. Personnel directory (/fakultaet/personenverzeichnis) exists but individual names/titles not resolved this pass."
Tübingen,Cyber Valley,other_nonprofit,none,"Self-description on its own 'About' page is a collaboration/innovation network ('community, collaboration, knowledge-exchange between... founders from science, business, and society'), not a direct employer. No evidence found of Cyber Valley itself holding independent hiring authority over PIs.",https://www.cyber-valley.de,https://www.cyber-valley.de/en/about,2026-08-06,medium,Recorded specifically to PREVENT a future agent rediscovering 'Cyber Valley' as an apparent gap and attempting a headcount — same non-employer risk class as ELLIS Unit Tübingen (already flagged in institution_directory_urls.csv).
Saarbrücken,Fraunhofer Institute for Nondestructive Testing (IZFP),fraunhofer,few,Institute structured around 4 'performance fields' including an explicit 'AI/ML-based data analysis' service line. Leadership: Prof. Bernd Valeske (also holds the university chair 'Cognitive Sensor Systems') and Prof. Hans-Georg Herrmann as deputy director.,https://www.izfp.fraunhofer.de,https://www.izfp.fraunhofer.de/de/institutsprofil/institutsstruktur.html,2026-08-06,medium,Individual group-leader names below director level not resolved this pass.
Saarbrücken,Leibniz-Institut für Neue Materialien (INM),leibniz,few,"Research-groups page lists a 'Data-driven Materials Design' group among roughly 13 departments/groups; the rest are materials-science wet labs (biomaterials, optics, electron microscopy, etc.).",https://www.leibniz-inm.de,https://www.leibniz-inm.de/en/research/,2026-08-06,medium,Group-leader name not resolved this pass.
Saarbrücken,htw saar (University of Applied Sciences of Saarland),university_of_applied_sciences,few,"Faculty of Engineering Sciences offers Praktische Informatik, Technische Informatik, and Produktionsinformatik programmes, plus a 'Praktischer Einsatz von Künstlicher Intelligenz' continuing-education certificate. No professor directory reached this pass — computer-science professor page returned 404 twice.",https://www.htwsaar.de,https://www.htwsaar.de/ing,2026-08-06,low,Faculty personnel directory not located in this pass; needs a dedicated fetch of the Informatik programme's own Personen/Team page before any roster pass.
