city,institution,kind,likely_ai_pis,basis,homepage,directory_url,retrieved,confidence,notes
Munich,Fraunhofer IKS (Institute for Cognitive Systems),fraunhofer,many,"Team page names 5 department heads (Health/Fitch, Quantum Computing/Lorenz, Mobility/Mata, Industrial Sensors/Roscher, Automation Systems/Weiß) plus director Mario Trapp and deputy Reinhard Stolle; ~70 staff, ~70% scientists",https://www.iks.fraunhofer.de/,https://www.iks.fraunhofer.de/en/institute/team.html,2026-08-06,high,"Core mission is explicitly safe/trustworthy AI, the most directly AI-dedicated institute found in the Munich sweep. Relocating 2026 to Forschungscampus Garching (~13 km). Most surprising omission from the collected list."
Munich,Fraunhofer AISEC (Institute for Applied and Integrated Security),fraunhofer,many,"7 research divisions, one explicitly at the intersection of AI and IT security (Cognitive Security Technologies); leadership Claudia Eckert and Georg Sigl both hold TUM chairs",https://www.aisec.fraunhofer.de/en.html,https://www.aisec.fraunhofer.de/en/fields-of-expertise.html,2026-08-06,high,Garching site (~13 km) in range; Berlin and Weiden offices out of range for this city.
Munich,Hochschule München / Munich University of Applied Sciences (HM),university_of_applied_sciences,many,"Informatik/Mathematik faculty lists 56 professorships; several named ML/CV/AI professors confirmed (Socher AI, Kruspe ML/remote sensing ex-DLR, Schreck visual analytics, Nischwitz CV/graphics, Böhm interpretable ML, Endres, Brockhaus)",https://www.hm.edu,https://cs.hm.edu/fakultaet/personen/professuren.de.html,2026-08-06,medium-high,Largest clear non-TUM/LMU academic AI employer found in Munich; full roster obtained but some individual profile pages did not load.
Munich,Klinikum rechts der Isar / TUM University Hospital,university_hospital,many,"Institut für KI und Informatik in der Medizin houses the Chair for AI in Healthcare and Medicine (Daniel Rückert); AI-Assisted Healthcare group (Adams, Bressem); Makowski (quantitative imaging AI); Schnabel (joint Helmholtz Munich appointment)",https://www.mri.tum.de,https://www.kiinformatik.mri.tum.de/de/lehrstuhl-fuer-artificial-intelligence-healthcare-and-medicine,2026-08-06,medium-high,"Chairs sit under TUM School of Medicine and Health but are clinically embedded in the hospital; flag for a double-counting decision against TU Munich before finalising headcount. Deutsches Herzzentrum München now merged into this same hospital umbrella, no separate computational group found there."
Munich,DLR Institute of Robotics and Mechatronics,helmholtz,many,"6 departments including Perception and Cognition and Cognitive Robotics; ~200 scientific/technical staff; director Alin Albu-Schäffer",https://www.dlr.de/en/rm,https://www.dlr.de/en/rm/about-us/contact,2026-08-06,high,"DLR is a Helmholtz Association member (confirmed on helmholtz.de's 18-centre list; legally an e.V. rather than GmbH). Site is Oberpfaffenhofen, ~22.7 km straight-line from city centre, just outside the strict 20 km line but internationally significant for robot learning; included as a borderline case worth a radius exception."
Munich,DLR Remote Sensing Technology Institute / Earth Observation Center,helmholtz,many,"5 departments; the EO Data Science department is solely AI-focused, co-headed by Anja Rösel and Andrés Camero Unzueta, deep learning on multimodal EO data",https://www.dlr.de/en/eoc/about-us/remote-sensing-technology-institute,https://www.dlr.de/en/eoc,2026-08-06,high,"Same ~22.7 km Oberpfaffenhofen distance caveat as DLR Robotics and Mechatronics above."
Munich,European Southern Observatory (ESO),other_nonprofit,many,"Personnel page lists ~120+ scientific staff; 7-10 with explicit ML research interests (Vioque machine learning/large surveys, Sánchez Sáez astroinformatics/ML classification, Bayo anomaly detection, Bonse ML for high-contrast imaging, Belfiore, Vannieuwenhuyse, Brinchmann)",https://www.eso.org,https://www.eso.org/sci/activities/garching/personnel.html,2026-08-06,high,"Intergovernmental organisation (16 member states), HQ in Garching, ~750 total staff. Does not appear on any MPG/Fraunhofer/Leibniz/Helmholtz enumerating list, found only via a direct gap-check. Worth adding intergovernmental research orgs as a category for other cities (JRC, CERN, EMBL, ECMWF)."
Munich,MPI of Biochemistry,max_planck,few,"Directory itself uses Maschinelles Lernen / Deep Learning as descriptors: Karsten Borgwardt (ML/systems biology, major ML figure), Jürgen Cox (Computational Systems Biochemistry, MaxQuant), Lukas Milles (biomolecular design with deep learning), Matthias Mann",https://www.biochem.mpg.de/,https://www.biochem.mpg.de/forschung,2026-08-06,high,Strongest MPI in the Munich area for AI; Borgwardt alone justifies inclusion. Martinsried site.
Munich,LMU University Hospital (LMU Klinikum),university_hospital,few,"Institute for AI in Medicine founded 2024-10-01 under Björn Eskofier (recruited from FAU, ex-ML and Data Analytics chair); plus MeDIC LMU and IBE (~120 staff, 4 chairs including Biometrie und Bioinformatik)",https://www.lmu-klinikum.de,https://www.ibe.med.uni-muenchen.de,2026-08-06,medium,"New institute too recent for a fetchable team roster; highest-value follow-up target in the Munich set. Same TU Munich/LMU double-counting question as Klinikum rechts der Isar above."
Munich,MPI of Psychiatry,max_planck,few,"David Popovic (Mathematical Learning in Psychiatry), Nikolaos Koutsouleris (Max Planck Fellow, Precision Psychiatry, PRONIA ML prediction models), Florian Raabe",https://www.psych.mpg.de/en,,2026-08-06,medium,Munich city site; separate from MPI for Biological Intelligence despite past renaming confusion.
Munich,MPI for Biological Intelligence,max_planck,few,"Alexander Borst (emeritus, Circuits Information Models, computational neuroscience), Laura Busse (Max Planck Fellow), Lorenz Fenk, among ~23 groups mostly experimental",https://www.bi.mpg.de/,https://www.bi.mpg.de/labs/de,2026-08-06,medium,"Martinsried site is in range; Seewiesen site (~35 km) is out of range and excluded. Formerly MPI for Neurobiology plus MPI for Ornithology; distinct from MPI of Psychiatry."
Munich,Fraunhofer EMFT,fraunhofer,few,"8 focus areas including Neuromorphic Computing and AI in Sensor Technology, but these read as institute-wide competencies rather than named PI-headed groups",https://www.emft.fraunhofer.de/en.html,,2026-08-06,medium,AI secondary to a microsystems/hardware core. Munich (Hansastraße) site; Oberpfaffenhofen second site ~25-27 km.
Munich,Fraunhofer IGCV (Garching site),fraunhofer,few,"Industrial Robotics and Automation department (AI in robotics, cognitive assistant systems) plus a cross-cutting AI in Production theme",https://www.igcv.fraunhofer.de/en.html,https://www.igcv.fraunhofer.de/en/research.html,2026-08-06,medium,"HQ is Augsburg (~60-70 km, would exclude), but a confirmed Garching site (~13 km) brings it in range; could not confirm whether AI staff physically sit in Garching or Augsburg."
Munich,MPI for Astrophysics (MPA),max_planck,few,"Torsten Enßlin's Information Field Theory group (Bayesian/generative inference, NIFTy/D3PO/RESOLVE), Sherry Suyu's Gravitational Lensing Max Planck Research Group",https://www.mpa-garching.mpg.de/,https://www.mpa-garching.mpg.de/109183/Information-Field-Theory,2026-08-06,medium,Garching site.
