name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Andreas Göbel 0001,exclude,E15,,,The chair's own people page states it 'lists all people currently associated with the Chair for Algorithm Engineering at the Hasso Plattner Institute' and prints 'Dr. Andreas Goebel - Researcher - Chair for Algorithm Engineering - Hasso Plattner Institute - Office: K-2.17 - Tel.: +49 331 5509-424 - Andreas.Goebel(at)hpi.de' under the section heading 'Postdoctoral Researchers'. Head of the chair is,high,https://hpi.de/friedrich/people/
Bert Arnrich,include,,T3,,"HPI chair page (Letzte Aenderung 28.05.2026) prints Funktion = 'Fachgebietsleiter Digital Health - Connected Healthcare', Raum G-2.1.14, +49 331 5509-4850, bert.arnrich@hpi.de, and the page text says the Fachgebiet is 'von Prof. Dr. Bert Arnrich geleitet'. HPI's Fachgebiete list carries 'Prof. Dr. Bert Arnrich - Digital Health - Connected Healthcare'; the UP Digital-Engineering-Fakultaet chair lis",high,https://hpi.de/forschung/fachgebiete/digital-health-connected-healthcare/
Chen Liu 0001,exclude,E08,,"Potsdam, NY, USA","HOMONYM / GEOGRAPHIC FALSE POSITIVE - this row entered the Potsdam queue only because Clarkson University sits in Potsdam, New York, USA, and the DBLP affiliation string contains the word Potsdam. Clarkson's own directory page confirms 'Chen Liu - Professor - Department(s)/Center(s): Electrical & Computer Engineering - School(s): Coulter School of Engineering & Applied Sciences'. DBLP 'Chen Liu 00",high,https://www.clarkson.edu/people/chen-liu
Chris Dong 0001,exclude,E15,,,"The Boehmer chair team page lists him under the heading 'Postdocs': 'Chris ShuYu Dong - Postdoc - chrisshuyu.dong@hpi.de', below 'Chair: Prof. Dr. Niclas Boehmer - Head of Algorithmic Decision Making and Society'. In Potsdam, inside another chair's group, therefore not independent. DBLP 'Chris Dong 0001' carries 'Hasso Plattner Institute, Potsdam, Germany' plus 'Technical University of Munich, Dep",high,https://hpi.de/en/boehmer/team/
David R. Reich,exclude,E15,,,"The Machine Learning Group staff page (Last changed 20.04.2026) lists him under 'Ph.D. Students' as 'David Reich (AEye)'. The group is headed by Prof. Dr. Tobias Scheffer, currently 'On sabbatical', with Dr. Silvia Makowski as 'Acting professor'; page contact block gives Universitaet Potsdam, Institut fuer Informatik und Computational Science, Haus 70, An der Bahn 2, 14476 Potsdam (Campus Golm). H",high,https://www.uni-potsdam.de/en/cs-ml/staff
Haojin Yang 0001,exclude,E13,,,"The HPI chair page for the Machine Learning & AI / 'Machine Learning and Multimedia Data Analysis' research team names 'Supervisor: Prof. Dr. Christoph Meinel, Co-supervisor: PD Dr. habil. Haojin Yang' with current PhD students Jona Otholt, Weixing Wang and Hong Guo in HPI offices G2-E.31/E.32 - i.e. on the HPI campus in Potsdam-Babelsberg, so in_city=yes. An HPI news article says he 'leitet im HP",medium,https://hpi.de/meinel/knowledge-tech/machine-learning-ai.html
Markus Hecher,exclude,E13,,,"EXACT ARRANGEMENT: the chair is vacant (N.N.). The Lehrstuhl Theoretische Informatik staff page (Letzte Aktualisierung 13.04.2026) lists him under the heading 'Leitung (Lehrstuhlvertretung)', above the chair's secretary, technical staff and two wissenschaftliche Mitarbeiter; the institute research overview prints 'Theoretische Informatik - N.N. Vertretung: Dr. Markus Hecher'. DATES: his own homepa",high,https://www.uni-potsdam.de/de/thi/mitarbeiter
Matthias Weidlich 0001,include,,T3,,"TRAP RESOLVED - he moved to Potsdam; the roster is right and DBLP is stale. His HPI person page carries a dated Short Bio: 'Since April 2026, Matthias has been a full professor and chair for Data Systems at the Hasso Plattner Institute (HPI), at the Digital Engineering Faculty of the University of Potsdam. Before joining HPI, he had been a full professor and chair for Databases and Information Sys",high,https://hpi.de/en/database-group/people/prof-dr-matthias-weidlich/
Michelle Döring,exclude,E15,,,"Same chair people page, section 'Ph.D. Students': 'Michelle Luise Doering - Ph.D. Student - Chair for Algorithm Engineering - Hasso Plattner Institute - Office: K-2.13 - Tel.: +49 331 5509-3985 - Michelle.Doering(at)hpi.de'. In Potsdam, doctoral student, therefore not independent. DBLP 'Michelle Doering' (pid 342/9252) carries the HPI affiliation note and is the same person; a second, unaffiliated",high,https://hpi.de/friedrich/people/
Niclas Boehmer,include,,T3,,"HPI chair page (Letzte Aenderung 28.05.2026) prints Funktion = 'Fachgebietsleiter Algorithmic Decision Making and Society', Raum V-1.01, phone +49 331 550-9196, mail niclas.boehmer@hpi.de. HPI's Fachgebiete list names 'Prof. Dr. Niclas Boehmer - Algorithmic Decision Making and Society'; the chair team page (hpi.de/en/boehmer/team/) titles him 'Head of Algorithmic Decision Making and Society' with ",high,https://hpi.de/forschung/fachgebiete/algorithmic-decision-making-and-society/
Patrick Ebel 0002,exclude,E08,,München,"HOMONYM - the roster entry and this DBLP identity are two different people. The Potsdam person is Prof. Dr. Patrick Ebel, 'Fachgebietsleiter Computational Interaction' at HPI (chair page Letzte Aenderung 13.07.2026), whose team page lists PhD students Christopher Akiki, Martin Lorenz, Jan Hilbert and Michal Patryk Miazga, all with uni-leipzig.de addresses. Those are the co-authors of DBLP 'Patrick",high,https://hpi.de/forschung/fachgebiete/computational-interaction/
Ralf Herbrich,include,,T3,,"HPI chair page (Letzte Aenderung 31.07.2026, i.e. the state at the snapshot date) prints Funktion = 'Fachgebietsleiter Artificial Intelligence and Sustainability', Raum V-2.01, +49 331 5509-3468. Also on the HPI Fachgebiete list and on the UP Digital-Engineering-Fakultaet chair list (updated 01.07.2026). DBLP's 'Amazon Inc.' note is an earlier industry post and is stale. FUTURE-DATED CHANGE, recor",high,https://hpi.de/forschung/fachgebiete/artificial-intelligence-and-sustainability/
Thomas Walter 0003,exclude,E08,,Paris,"HOMONYM - the publication record and the Potsdam roster entry are two different people. The person on the University of Potsdam roster is Prof. Dr. Thomas Walter of the GFZ Helmholtz-Zentrum: GFZ's own staff page names him 'Prof. Dr. Thomas Walter - Arbeitsgruppenleiter - 2.1 Erdbeben- und Vulkanphysik', Haus H 7, Helmholtzstrasse 6/7, 14467 Potsdam, and states 'Head of the volcano-tectonics and h",medium,https://www.gfz.de/staff/thomas.walter/sec21
Yang Liu 0144,exclude,E08,,unknown,"UNRESOLVED, stated gap. No 'Yang Liu' appears on any of PIK's four Potsdam research-department staff listings checked on 2026-08-06 - RD1 Earth System Analysis, RD2 Climate Resilience, RD3 Transformation Pathways, RD4 Complexity Science (169 role-labelled entries between them) - nor on the PIK alumni listing (337 entries; the only near hit is 'Professor Yang Tang, PIK: 2011-2018', a different pers",low,https://www.pik-potsdam.de/en/institute/departments/complexity-science/staff-rd4
