name,ruling,reason_code,tier,city_if_elsewhere,reason,evidence_confidence,evidence_url
Ahmed Frikha 0002,exclude,E15,,,"DBLP profile shows PhD completed 2022 at LMU Munich (advised in Volker Tresp's group, per thesis title ""Deep knowledge transfer for generalization across tasks and domains under data scarcity"" and co-authorship pattern with Tresp/Krompass), followed by move to Huawei Munich Research Center as industry researcher (2023-2025 papers on LLM privacy/federated learning). Current post is industry-only — ",high,https://dblp.uni-trier.de/pid/04/7448-2
Aleksandra Franz,exclude,E08,,unknown,"DBLP lists a 2026 PhD dissertation at TUM. The Thuerey group's own site (ge.in.tum.de) lists her under ""Alumni and Collaborators – Former PhD candidate,"" indicating she has left the group, but no successor position (postdoc/industry) could be found within search budget. Even if still nominally in Munich, a just-finished PhD candidate would not count as independent.",low,https://ge.in.tum.de/about/
Alexander Gebhard 0001,exclude,E15,,,"Listed as ""Researcher"" (M.Sc.) on the TUM Chair of Health Informatics team page (Prof. Schuller's chair, based at Klinikum rechts der Isar in Munich). Consistent 2023–2026 co-authorship pattern with Schuller's group (both TUM and Augsburg papers). No own lab page, own funding, or own PhD students found — appears to be staff/doctoral researcher within Schuller's chair, not independent.",medium,http://kiinformatik.mri.tum.de/en/hichair-health-informatics/chi-team
Andreas Triantafyllopoulos,exclude,E15,,,"Postdoctoral researcher since December 2023; PhD completed at University of Augsburg (2018-2022), not TUM. Working inside a chair, not independent.",medium,https://html.duckduckgo.com/html/?q=%22Andreas+Triantafyllopoulos%22+TUM+OR+Augsburg+postdoc+OR+PhD
Axel von Arnim,exclude,E13,,,"fortiss is explicitly classified per project rules as an industry/applied-research institute, not an academic Munich institution, regardless of its physical Munich location. No evidence found of any university professorship or academic appointment for him elsewhere (only project-handover collaboration mentions with TUM/LMU). Role is departmental head at fortiss, industry-only.",medium,https://www.fortiss.org/en/research/results/scientific-publications/author/axel-von-arnim
Bastian Rieck,include,,T3,"University of Fribourg, Switzerland (primary, leads AIDOS Lab); Helmholtz Munich, Institute of AI for Health, Neuherberg, Germany (secondary)",DBLP's University of Fribourg reflects his current primary post; the Helmholtz Munich roster hit reflects a genuine ongoing secondary appointment tied to his own lab.,high,https://bastian.rieck.me
Birgit Vogel-Heuser,include,,T3,,"Chair holder since 2009 (confirmed via TUM official page and German Wikipedia); DBLP shows continuous publications through 2026 under TUM affiliation; unambiguous senior full professor, matches DBLP string exactly.",high,https://www.professoren.tum.de/en/vogel-heuser-birgit
Bjoern M. Eskofier,include,,T3,,"MCML's own bio states he was 'Before joining LMU in 2025... Chair of Machine Learning and Data Analytics at FAU Erlangen-Nuernberg' (past tense); LMU/IBE news (Oct 2025) confirms he took up the Chair of AI-Supported Therapy Decisions. DBLP's Erlangen-Nuremberg entry is outdated, though FAU's own lab page has not been updated to remove him, hence medium rather than high confidence.",medium,https://mcml.ai/research/groups/eskofier/; https://www.en.ibe.med.uni-muenchen.de/lehrstuehle/ai-supported-therapy-decisions/lead/index.html
Bjoern Menze,exclude,E08,,"Zurich, Switzerland","recent papers place them elsewhere: His own TUM homepage now states 'Bjoern Menze moved to UZH' and forwards to the UZH/DQBM page, which confirms the full professorship there has run since September 2020 — a parallel appointment for years before becoming his sole primary post. TUM's Biomedical Image Computing chair page and TUM professor directory entry for him now 404, so no current first-party e",high,https://www.dqbm.uzh.ch/en/research/menze.html
Bjoern W. Schuller,exclude,E08,,"London, UK and Augsburg, Germany","DBLP no longer lists any TUM affiliation. Only remaining Munich tie is co-founding audEERING GmbH, a TUM spin-off company (industry, does not count). TUM/MCML roster hits appear stale.",high,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Schuller; https://dblp.org/pid/54/4934
Daniel-Andre Duecker,include,,T3,,"His own homepage states he is 'Senior Scientist at MIRMI, TUM, where I lead the Environmental Robotics group' — meets the independent research group leader inclusion criterion despite a non-professorial title.",high,https://danielduecker.github.io/
Dirk Wollherr,exclude,E15,,,"Confirmed via TUM LSR team roster/personal profile: senior researcher and lecturer since 2005, Privatdozent since 2013 (habilitation). Explicitly framed as staff within Buss's chair, not an independent group leader; no own lab, funding, or independent PhD supervision found. Research areas: mobile robotics/SLAM, HRI, autonomous vehicles.",high,https://www.ce.cit.tum.de/lsr/team/dozenten/dirk-wollherr/
Dominik Klein 0005,exclude,E15,,,"Confirmed via official Theis Lab team page, which lists him as ""PhD candidate."" DBLP shows consistent co-authorship with lab head Fabian J. Theis since 2021 (ICLR 2024, NeurIPS 2024, single-cell genomics/optimal transport). Team page does not separate current members from alumni, but no indication he has left; not an independent PI.",high,https://www.helmholtz-munich.de/en/icb/research-groups/theis-lab
Fan Wu 0015,exclude,E08,,"Shanghai, China (Shanghai University)","Formerly postdoc at TUM's Munich Institute of Robotics and Machine Intelligence (MIRMI) and Chair of Robotics and Systems Intelligence (RSI) under Prof. Sami Haddadin; per his own website, joined Shanghai University as associate professor in September 2025. PhD from King's College London, not TUM.",medium,https://html.duckduckgo.com/html/?q=%22Fan+Wu%22+TUM+School+of+Computation+Information+Technology+PhD
Federico Tombari,exclude,E15,,,"Primary job is industry (Google), which does not count toward independence. Holds a Privatdozent/senior research scientist role inside Prof. Navab's CAMP group at TUM, not his own independent group. Matches roster note of MCML-only listing.",medium,https://federicotombari.github.io/; https://www.cs.cit.tum.de/camp; https://dblp.org/pid/16/3539
Felix Krahmer,include,,T3,,"Confirmed on official TUM Dept. of Mathematics faculty page: Associate Professor for Optimization and Data Analysis since 2021 (converted from DFG Emmy Noether Junior Research Group / tenure-track, 2014-2021). Leads own 'Data Science' research group; prior independent funding (Emmy Noether, DFG SPP1798, DFG CRC TR-109, German-Israeli Foundation grant). Clearly independent PI. TUM Mathematics is on",high,https://www.math.cit.tum.de/en/math/people/professors/krahmer-felix/
Felix Krause 0002,exclude,E15,,,"DBLP pid 134/6471-2 confirmed as correct disambiguation (LMU Munich, formerly JKU Linz); 2025-2026 papers on diffusion models/generative AI (CVPR, ICCV, NeurIPS) match Ommer Lab's CompVis research focus. Official lab team page lists him as PhD Student, no own lab page/funding/students found, so not independent.",high,https://ommer-lab.com/people/
Ganlin Zhang 0001,exclude,E15,,,"DBLP 0001 confirmed match (ORCID 0009-0001-6089-8225, TUM, SLAM/3D-vision topics). Personal homepage states 'PhD student in Computer Vision at TU Munich' under advisor Daniel Cremers; currently on a temporary Summer 2026 research internship at Google Zurich (not a permanent move) -- not an independent PI.",high,https://ganlinzhang.xyz
Gerhard Rigoll,exclude,E15,,,"TUM's own faculty directory explicitly lists him as Professor emeritus; chair is now led on an interim basis by Prof. Werner Hemmert. Correctly excluded despite being geographically in Munich, since emeritus is an exclusion category.",high,https://www.professoren.tum.de/en/rigoll-gerhard/; https://www.ce.cit.tum.de/en/mmk/home/
Hang Li 0010,exclude,E08,,"London, United Kingdom","Personal homepage states he completed a PhD in Computer Science at LMU Munich under Prof. Volker Tresp (affiliated with MCML and Siemens AG — matching DBLP's secondary Siemens listing) and an M.Sc. at TUM, and is now a Research Scientist at Meta AI in London working on generative AI. DBLP's LMU/Siemens affiliation reflects his PhD era and is stale; he is not listed on LMU DBS's current personnel p",high,https://hangligit.github.io
Hans-Arno Jacobsen,exclude,E08,,"Toronto, Canada","recent papers place them elsewhere: TUM's own research portal lists TUM as 'Former affiliation' for him, and TUM's Chair of Decentralized Information Systems and Data Management now names a successor, Prof. Viktor Leis — an unambiguous departure signal. University of Toronto's ECE page and the Middleware Systems Research Group site both show him as an active, current professor and group director w",high,https://www.ece.utoronto.ca/people/jacobsen-h-a/
Hao Shen 0002,exclude,E15,,,"DBLP pid 26/2210-2 lists dual fortiss + TU Munich affiliation, but TUM's professor directory has no entry for him and fortiss's own Institute Management & Research Fellows page (which lists TUM professors holding joint fortiss appointments, e.g. Diepold, Beetz, Broy) omits him -- no joint TUM professorship found. No 'group leader' title found. ORCID 0000-0003-0091-4155 shows only one stale histori",medium,https://www.fortiss.org/en/research/fields-of-competence/detail/machine-learning
Hao Yu 0010,exclude,E08,,"Unclear — not on current TUM CAMP roster; last co-affiliation National University of Defense Technology, Changsha, China","DBLP's TUM affiliation reflects his PhD period (completed 2023); homepage is stale (still says 'PhD candidate', last publications 2023); does not appear on TUM CAMP's current member list. Could not verify current position.",low,https://haoyu94.github.io; https://www.cs.cit.tum.de/en/camp/members/; https://dblp.org/pid/64/4832-10.html
Haowei Zhang 0002,exclude,E08,,"Shanghai, China","DBLP's TUM affiliation reflects his earlier M.Sc. in Robotics, Cognition, Intelligence at TUM's School of CIT (2021–2024), confirmed by his personal GitHub CV and an OpenReview profile snippet. He is now an MS student at Fudan University since 2025. Never independent, no longer in Munich. Co-authorships with Volker Tresp's LMU group appear to be from a TUM-era collaboration, not a current LMU post",high,https://openreview.net/profile?id=~Haowei_Zhang3
Hong Joo Lee 0001,exclude,E15,,,"DBLP shows move from KAIST (former) to TUM (current); CAMP chair members page confirms him as ""Lee, Hong Joo; Dr."" under Affiliated Scientists category (postdoc-level, holds a doctorate already). Frequent co-author of chair holder Nassir Navab and Seong Tae Kim — clearly inside Navab's chair, not an independent PI.",high,https://www.cs.cit.tum.de/camp/members/
Jia Chen 0003,include,,T3,,"Likely a NAME COLLISION rather than a single person's affiliation change: the TUM-directory Prof. Jia Chen (environmental sensing, own chair/funding/PhD students since 2015, ex-Harvard postdoc) works in atmospheric/environmental sensing, whereas DBLP pid 99/6879-3 ('Tsinghua University') has 2020-2026 papers in legal-AI/IR/LLMs (AAAI, EMNLP, SIGIR) -- an unrelated field. Reporting on the TUM-direc",high,https://www.professoren.tum.de/en/chen-jia/
Jonathan Harrington,include,,T3,,"This is the same, senior Jonathan Harrington — the DBLP-listed papers (INTERSPEECH, Journal of Phonetics, Phonetica, Speech Communication) are genuinely his phonetics/speech work, appearing in AI-adjacent venues (INTERSPEECH) as the task hinted. Official LMU page confirms he joined IPS in Oct 2006 and is currently active Institute Director, not emeritus/retired; active projects listed through 2028",high,https://www.sprachlit.lmu.de/ips/en/persons/contact-page/jonathan-harrington-7888d728.html
