country,source_name,ror_query,coords_from,note
fr,CRIStAL,Université de Lille,,"CRIStAL is UMR 9189, hosted on the Lille campus"
se,Chalmers/GU,Chalmers University of Technology,,CSRankings merges Chalmers and Gothenburg University
dk,DTU,Technical University of Denmark,,
ch,EPFL,École Polytechnique Fédérale de Lausanne,,
nl,TU Eindhoven,Eindhoven University of Technology,,
gr,NTUA,National Technical University of Athens,,
de,Karlsruhe Inst. of Technology,Karlsruhe Institute of Technology,,
nl,Radboud University,Radboud University Nijmegen,,
de,CISPA Helmholtz Center,CISPA Helmholtz Center for Information Security,,
nl,CWI,Centrum Wiskunde & Informatica,,
no,NTNU,Norwegian University of Science and Technology,,
gr,AUEB,Athens University of Economics and Business,,
cz,Czech Technical University,Czech Technical University in Prague,,
pl,IPI PAN,Instytut Podstaw Informatyki Polskiej Akademii Nauk,pl-university-of-warsaw,"ROR identity unresolved (best match is ""Institute of Art""); city Warsaw is correct, coordinates anchored"
de,University of Magdeburg,Otto von Guericke University Magdeburg,,
fr,INRIA,Institut National de Recherche en Informatique et en Automatique,,National body across nine centres; members need per-person centre resolution
de,University of Kiel,Kiel University,,
it,GSSI,Gran Sasso Science Institute,,
de,THWS,Technische Hochschule Würzburg-Schweinfurt,,
de,University of Düsseldorf,Heinrich Heine University Düsseldorf,,
de,University of Osnabrück,Osnabrück University,,
sk,Kempelen Institute - KInIT,Kempelen Institute of Intelligent Technologies,,
de,University of Halle-Wittenberg,Martin Luther University Halle-Wittenberg,,
bg,INSAIT,"Institute for Computer Science, Artificial Intelligence and Technology",bg-su,"Founded 2022; not in ROR. Anchored to Sofia University, its host campus"
de,TU Freiberg,TU Bergakademie Freiberg,,
de,MPI for Informatics,Max Planck Institute for Informatics,,
de,MPI for Software Systems (Saarbrücken),Max Planck Institute for Software Systems,,
de,MPI for Software Systems (Kaiserslautern),Max Planck Institute for Software Systems,de-tu-kaiserslautern,Second MPI-SWS site; ROR record points at Saarbrücken
de,MPI for Intelligent Systems (Tübingen),Max Planck Institute for Intelligent Systems,de-university-of-t-bingen,ROR registers MPI-IS in Stuttgart; the Tübingen campus is the AI site
de,MPI for Intelligent Systems (Stuttgart),Max Planck Institute for Intelligent Systems,,ROR location is already the Stuttgart site
de,MPI for Biological Cybernetics,Max Planck Institute for Biological Cybernetics,,
de,MPI for Security and Privacy,Max Planck Institute for Security and Privacy,,
de,MPI for Mathematics in the Sciences,Max Planck Institute for Mathematics in the Sciences,,
de,MPI of Molecular Cell Biology and Genetics,Max Planck Institute of Molecular Cell Biology and Genetics,,
de,MPI for Human Development (Center for Humans and Machines),Max Planck Institute for Human Development,,
de,DFKI Saarbrücken,German Research Centre for Artificial Intelligence,de-saarland-university,DFKI is multi-site; anchor to the Saarbrücken campus
de,DFKI Kaiserslautern,German Research Centre for Artificial Intelligence,de-tu-kaiserslautern,
de,DFKI Robotics Innovation Center,German Research Centre for Artificial Intelligence,de-university-of-bremen,
de,DFKI Berlin,German Research Centre for Artificial Intelligence,de-tu-berlin,
de,Helmholtz Munich,Helmholtz Zentrum München,,
de,Munich Center for Machine Learning,Munich Center for Machine Learning,de-lmu-munich,Virtual centre; members hold LMU or TUM chairs
de,BIFOLD Berlin Institute for the Foundations of Learning and Data,BIFOLD,de-tu-berlin,Virtual centre hosted at TU Berlin | no reliable ROR record; anchored to a neighbour
de,Lamarr Institute,Lamarr Institute for Machine Learning and Artificial Intelligence,de-tu-dortmund,Sites in Dortmund Bonn Aachen Sankt Augustin
de,ScaDS.AI Dresden/Leipzig,ScaDS.AI,de-tu-dresden,Two-city centre
de,ELLIS Institute Tübingen,ELLIS Institute Tübingen,de-university-of-t-bingen,
de,Tübingen AI Center,Tübingen AI Center,de-university-of-t-bingen,
de,DLR Institute for AI Safety and Security,German Aerospace Center,de-university-of-bonn,Sankt Augustin site near Bonn
fr,Inria Centre de Paris,Centre Inria de Paris,,
fr,Inria Centre de Saclay,Centre Inria de Saclay,,
fr,Inria Centre de l'Université Grenoble Alpes,Centre Inria de l'Université Grenoble Alpes,,
fr,Inria Centre de l'Université de Rennes,Centre Inria de l'Université de Rennes,,
fr,Inria Centre de l'Université de Lille,Centre Inria de l'Université de Lille,,
fr,Inria Centre d'Université Côte d'Azur,Centre Inria d'Université Côte d'Azur,,
fr,Inria Centre de l'Université de Lorraine,Centre Inria de l'Université de Lorraine,,
fr,Inria Centre de l'Université de Bordeaux,Centre Inria de l'Université de Bordeaux,,
fr,Inria Centre de Lyon,Centre Inria de Lyon,,
fr,Université Grenoble Alpes (LIG GIPSA),Université Grenoble Alpes,,
fr,Université de Bordeaux (LaBRI),Université de Bordeaux,,
fr,Sorbonne Université (LIP6 ISIR),Sorbonne University,,
fr,Université Paris-Saclay (LISN),Université Paris-Saclay,,
fr,Université Paris Cité (IRIF),Université Paris Cité,,
fr,Télécom Paris (LTCI),Télécom Paris,,
fr,École Polytechnique (LIX),École Polytechnique,,
fr,Université de Toulouse (IRIT ANITI),Université de Toulouse,,
fr,Aix-Marseille Université (LIS),Aix-Marseille Université,,
fr,Université de Lorraine (LORIA),Université de Lorraine,,
fr,Université de Montpellier (LIRMM),Université de Montpellier,,
fr,Nantes Université / Centrale Nantes (LS2N),Nantes Université,,
fr,Université Côte d'Azur (I3S 3IA),Université Côte d'Azur,,
fr,Université Lyon 1 / INSA Lyon (LIRIS),Université Claude Bernard Lyon 1,,
fr,CEA List,CEA LIST,fr-telecom-paris,Palaiseau site on the Saclay plateau | no reliable ROR record; anchored to a neighbour
ch,IDSIA,Dalle Molle Institute for Artificial Intelligence Research,,
ch,ZHAW,ZHAW Zurich University of Applied Sciences,ch-university-of-zurich,"Winterthur campus, ~20 km from Zurich; anchored to the nearest resolved institution"
it,CNR-ISTI,Institute of Information Science and Technologies,,
it,Università di Torino,University of Turin,,
it,Università di Genova,University of Genoa,,
it,Università di Roma Tor Vergata,University of Rome Tor Vergata,,
it,Università Roma Tre,Roma Tre University,,
it,Università di Napoli Federico II,University of Naples Federico II,,
it,Università di Firenze,University of Florence,,
it,Università di Verona,University of Verona,,
it,SISSA,Scuola Internazionale Superiore di Studi Avanzati,,
it,ICTP,Abdus Salam International Centre for Theoretical Physics,,
it,Università di Siena (SAILab),University of Siena,,
it,Università di Milano-Bicocca,University of Milano-Bicocca,,
it,Università degli Studi di Milano,University of Milan,,
it,Università di Bologna,University of Bologna,,
it,IIT Center for Human Technologies,Italian Institute of Technology,it-unimi,IIT satellite centre in Milan | no reliable ROR record; anchored to a neighbour
pt,INESC-ID,INESC-ID,pt-universidade-de-lisboa, | no reliable ROR record; anchored to a neighbour
pt,Universidade do Porto,University of Porto,,
pt,Universidade de Coimbra,University of Coimbra,,
pt,Universidade do Minho,University of Minho,,
pt,Universidade de Aveiro,University of Aveiro,,
be,imec,Interuniversity Microelectronics Centre,,
nl,Wageningen University,Wageningen University & Research,,
at,Software Competence Center Hagenberg,Software Competence Center Hagenberg,at-jku-linz, | no reliable ROR record; anchored to a neighbour
pl,NASK,Naukowa i Akademicka Sieć Komputerowa,,
pl,IDEAS NCBR,IDEAS NCBR,pl-university-of-warsaw,Young institute; ROR match is unreliable | no reliable ROR record; anchored to a neighbour
cz,CIIRC CTU,"Czech Institute of Informatics, Robotics and Cybernetics",cz-czech-technical-university, | no reliable ROR record; anchored to a neighbour
cz,UTIA Czech Academy of Sciences,Institute of Information Theory and Automation,,
hu,HUN-REN SZTAKI,Institute for Computer Science and Control,,
hu,HUN-REN Alfréd Rényi Institute of Mathematics,Alfréd Rényi Institute of Mathematics,,
gr,FORTH-ICS,Foundation for Research and Technology Hellas,,
gr,Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,,
ro,University Politehnica of Bucharest,National University of Science and Technology Politehnica Bucharest,,
sk,Slovak University of Technology,Slovak University of Technology in Bratislava,,
si,Jožef Stefan Institute,Jožef Stefan Institute,,
hr,University of Zagreb FER,University of Zagreb,,
es,Computer Vision Center / UAB,Computer Vision Center,,
es,IIIA-CSIC,Artificial Intelligence Research Institute,,
es,Universitat Pompeu Fabra,Pompeu Fabra University,,
es,Universidad Politécnica de Madrid,Technical University of Madrid,,
es,Universidad Autónoma de Madrid,Autonomous University of Madrid,,
es,Universidad de Granada,University of Granada,,
es,Universidad de Sevilla,University of Seville,,
es,Universitat de Barcelona,University of Barcelona,,
es,University of the Basque Country,University of the Basque Country,,
gb,Royal Holloway Univ. of London,"Royal Holloway, University of London",,
es,Polytechnic Univ. of Catalonia,Universitat Politècnica de Catalunya,,
no,UiT The Arctic Univ. of Norway,UiT The Arctic University of Norway,,
de,Bundeswehr University Munich,Universität der Bundeswehr München,,
de,University of Hannover,Leibniz University Hannover,,
es,IMDEA Networks Institute,IMDEA Networks,,
de,Brandenburg Univ. of Technology,Brandenburg University of Technology Cottbus-Senftenberg,,
