name,in_city,independent,current_title_verbatim,current_institution,moved_to_city,evidence_url,retrieved,confidence,notes
Jens Kober,yes,yes,"Prof. Dr.-Ing. -- Full Professor (W3), Foundations of Cognitive Robotics; Head, Learning and Interactive Robots (LaIR)","Institute for Artificial Intelligence, University of Stuttgart (joint appointment as Research Team Lead, Fraunhofer IPA)",,https://ellis-stuttgart.eu/news/2026/03/Jens-Kober/,2026-08-06,high,"Relocated from TU Delft (assoc. prof. 2019-2026) to Stuttgart starting March 2026; confirmed by ELLIS Stuttgart, Uni Stuttgart, and Fraunhofer IPA press items. His TU Delft staff page is stale and still shows him as active there."
Marco F. Huber,yes,yes,"Univ.-Prof. Dr.-Ing. -- Professor for Cognitive Production Systems; Deputy Director, IFF","Institute of Industrial Manufacturing and Management (IFF), University of Stuttgart (also Head, Center for Cyber-Cognitive Intelligence, Fraunhofer IPA)",,https://www.uni-stuttgart.de/en/press/experts/Prof.-Dr.-Marco-Huber/,2026-08-06,high,"Professor since Oct 2018; Fraunhofer IPA role is a joint appointment, both physically in Stuttgart so no city ambiguity."
Luiz F. O. Chamon,no,yes,"Assistant Professor (tenure-track), Hi!PARIS chair holder","CMAP (Center for Applied Mathematics), Ecole Polytechnique, Paris, France","Paris, France (Ecole Polytechnique)",https://www.ki.uni-stuttgart.de/institute/news/Luiz-Chamon-joins-Ecole-Polytechnique-as-a-tenure-track-assistant-professor/,2026-08-06,high,Was ELLIS-SimTech Independent Junior Research Group Leader at Stuttgart 2022-2024 (qualified as independent then too); left for Ecole Polytechnique Jan 2025. DBLP's 'University of Stuttgart' entry is stale.
Filip Miletic,yes,no,Postdoctoral researcher,"Institute for Natural Language Processing (IMS), University of Stuttgart",,https://www.ims.uni-stuttgart.de/en/institute/team/Miletic/,2026-08-06,high,"DBLP suffix '0002' is a disambiguation artifact, not part of his name. Postdoc since 2022 inside Sabine Schulte im Walde's group (project SemVarMWE), not an independent PI. University of Toulouse on DBLP refers to his completed PhD (2018-2022), not a current post."
Katherine J. Kuchenbecker,yes,yes,"Director, Haptic Intelligence Department","Max Planck Institute for Intelligent Systems, Stuttgart campus",,https://is.mpg.de/hi/,2026-08-06,high,"DBLP's 'University of Pennsylvania' affiliation is stale, predating her 2018 move. Confirmed as active Director via the department page and multiple 2026 MPI-IS news items naming her."
Bernd Bohnet,no,no,Research Scientist,Google DeepMind (Google Research),Google DeepMind (industry; specific office city not confirmed),https://research.google/people/bernd-bohnet/,2026-08-06,medium,DBLP's 'University of Stuttgart' entry appears stale; his old uni-stuttgart.de personal page is unreachable. No current university appointment found; industry-only post excludes him under the project's rules.
Volker Fischer,no,no,Senior Expert (self-described),"Robert Bosch GmbH, Bosch Center for Artificial Intelligence (BCAI)","n/a -- industry-only post, no academic appointment found",https://www.semanticscholar.org/author/47092548,2026-08-06,medium,DBLP suffix '0003' is a disambiguation artifact. No honorary/adjunct professorship at University of Stuttgart or elsewhere found despite searching; PhD is from Regensburg. Industry-only excludes him under the project's rules even though BCAI (Renningen) is near Stuttgart.
Duy M. H. Nguyen,yes,no,Doctoral researcher (PhD student),"Max Planck Research School for Intelligent Systems (IMPRS-IS), University of Stuttgart, and DFKI",,https://arxiv.org/abs/2601.15416,2026-08-06,high,"A May 2026 arXiv paper he co-authored still lists this IMPRS-IS/Uni Stuttgart affiliation, confirming he remains a PhD student, not independent. 'Max Planck Research School' names a doctoral graduate school."
Daniel Hennes,no,no,Research Scientist,Google DeepMind,Google DeepMind (reported Switzerland; not independently confirmed),https://dblp.org/pid/50/4003,2026-08-06,medium,"DBLP still lists his old Stuttgart/DFKI-Bremen/ESA affiliations, never updated. Publication record (OpenSpiel, Stratego in Science 2022, TacticAI, 2025-26 multi-agent LLM work) matches DeepMind's program; a secondary LinkedIn-derived snippet (not independently confirmed) places him in Switzerland. No current Stuttgart academic listing found; industry-only excludes him."
Nicola Wolpert,yes,yes,"Prof. Dr.-Ing. -- Professorin, 'Geometrie und industrielle Anwendungen'","Hochschule fuer Technik Stuttgart (HFT Stuttgart), Department of Mathematics",,https://www.hft-stuttgart.de/p/nicola-wolpert,2026-08-06,high,"Full professor since 2005. HFT Stuttgart is physically in the city of Stuttgart but is a distinct institution from University of Stuttgart/MPI-IS, so it was never picked up by the two tracked institution rosters."
